tyre_id,brand,tyre_size,width_mm,aspect_ratio,rim_inch,country,region,risk_class,td_current_mm,wear_rate_mm_10000km,remaining_life_km,cost_per_1000km,latitude,longitude,kmeans_cluster,gmm_cluster,dbscan_cluster,pca_1,pca_2
TYR00001,Michelin,225/45 R17,225,45,17,Spain,Southern Europe,low,7.7,0.6661908160837489,91565.35714285726,3.081084527930849,40.4463,-3.78051,3,3,-1,-0.5770110306231725,-1.8041537632119566
TYR00002,Michelin,255/40 R19,255,40,19,France,Western Europe,low,5.79,0.727211936306265,57617.31609195401,4.063557288607824,45.81328,4.92602,2,2,-1,2.229983901240112,-1.0681330779279572
TYR00003,Hankook,225/45 R17,225,45,17,Sweden,Northern Europe,low,5.52,0.9149542522873859,42843.67213114752,3.054004401645055,59.21273,18.04303,2,2,-1,0.47852016604569414,0.23277174198047026
TYR00004,BudgetRoad,255/40 R19,255,40,19,Portugal,Southern Europe,low,4.53,0.9893587858549107,29615.14105793451,2.8873504160522225,38.62025,-9.22996,4,4,-1,2.6485091459104386,0.04867621029236673
TYR00005,Bridgestone,195/65 R15,195,65,15,France,Western Europe,low,5.29,0.9321669295855441,39585.18461538462,3.606848765064066,45.80246,4.87142,1,1,-1,-1.6806395660959184,2.1039755899904784
TYR00006,Goodyear,255/40 R19,255,40,19,Spain,Southern Europe,low,7.98,0.7474361202850681,85358.46511627914,3.2495920936758407,40.3408,-3.73092,3,3,-1,1.3172577031197272,-2.634853315620768
TYR00007,Michelin,205/55 R16,205,55,16,Netherlands,Western Europe,low,7.59,0.7208615598401946,83095.01204819277,3.105940899692686,52.43441,4.93265,0,0,-1,-1.571526899524712,-0.4631114938126086
TYR00008,Yokohama,235/45 R18,235,45,18,Norway,Northern Europe,low,5.91,1.105201927871032,38997.3984962406,5.318294383407767,59.74334,10.77362,4,4,-1,2.2369586657115463,1.0679014182551123
TYR00009,Pirelli,205/55 R16,205,55,16,Netherlands,Western Europe,low,6.8,0.48076923076923106,108159.99999999991,2.1447894613032243,52.2728,4.82689,0,0,-1,-2.386604991663874,-1.4441156582219834
TYR00010,Yokohama,235/45 R18,235,45,18,Spain,Southern Europe,low,4.92,0.7998582529678284,41507.35443037975,2.9512053966370075,40.4296,-3.71329,2,2,-1,1.18991282989214,0.011060024437764993
