observation_id,observed_at,year,month,country,europe_region,brand,model,dimension,tyre_season,weather_season,vehicle_type,monthly_km,cumulative_km,tyre_age_months,initial_tread_depth_mm,tread_depth_mm,wear_rate_mm_per_1000km,projected_life_km,price_eur,cost_per_km,wet_grip_score,energy_efficiency_score,noise_db,road_roughness,avg_temp_c,rain_index,season_match,high_wear_risk
OBS000001,2019-04-13,2019,4,Spain,Southern Europe,Pirelli,PIR-Eco-792,225/45 R17,all-season,mild,family,1468.8,58046.1,35,8.52,1.2,0.1316,52597.0,111.91,0.00213,3.36,3.93,72.5,0.324,11.7,0.365,1,1
OBS000002,2019-12-23,2019,12,Poland,Eastern Europe,Michelin,MIC-Grip-338,205/55 R16,winter,winter,city,1789.6,42076.0,24,7.71,1.2,0.1618,37784.0,103.55,0.00274,3.51,3.57,72.3,0.63,3.7,0.605,1,1
OBS000003,2025-10-01,2025,10,Poland,Eastern Europe,Pirelli,PIR-Grip-559,195/65 R15,summer,mild,ev,1212.7,20270.2,20,8.29,2.93,0.2555,26167.0,185.01,0.00707,3.17,3.35,71.8,0.634,19.8,0.451,0,1
OBS000004,2022-02-13,2022,2,Czechia,Eastern Europe,Michelin,MIC-Tour-384,195/65 R15,all-season,winter,family,1028.5,27283.1,25,8.43,3.6,0.1789,38209.0,171.73,0.00449,2.94,3.82,73.1,0.623,5.7,0.508,0,1
OBS000005,2021-05-31,2021,5,France,Western Europe,Hankook,HAN-Drive-199,205/55 R16,all-season,mild,city,1462.8,65973.4,42,7.96,1.2,0.1894,33559.0,117.79,0.00351,2.4,3.41,73.2,0.522,10.2,0.517,1,1
OBS000006,2022-11-09,2022,11,Italy,Southern Europe,Michelin,MIC-Eco-487,255/40 R19,winter,mild,fleet,1578.6,58041.9,36,8.46,1.2,0.1642,41750.0,161.67,0.00387,2.56,3.79,72.9,0.502,13.6,0.543,0,1
OBS000007,2025-03-11,2025,3,Spain,Southern Europe,Hankook,HAN-Eco-146,225/45 R17,summer,mild,ev,1619.3,12493.5,7,8.38,5.28,0.2414,28095.0,127.65,0.00454,2.95,3.24,72.8,0.455,20.9,0.271,0,0
OBS000008,2022-03-31,2022,3,Germany,Western Europe,Pirelli,PIR-Tour-564,195/65 R15,all-season,mild,city,1537.5,49384.6,30,8.4,1.24,0.1386,49050.0,137.8,0.00281,2.65,3.78,71.6,0.612,8.3,0.57,1,1
OBS000009,2020-10-28,2020,10,Italy,Southern Europe,Pirelli,PIR-Sport-750,205/55 R16,summer,mild,suv,1202.5,54250.8,41,8.43,1.2,0.219,31195.0,84.54,0.00271,2.96,3.55,71.7,0.455,14.9,0.326,0,1
OBS000010,2024-12-27,2024,12,France,Western Europe,Goodyear,GOO-Tour-755,195/65 R15,all-season,winter,fleet,786.0,44678.0,52,7.86,1.2,0.1829,34245.0,159.13,0.00465,2.89,4.03,74.4,0.579,13.6,0.742,0,1
OBS000011,2021-06-18,2021,6,Poland,Eastern Europe,Michelin,MIC-Tour-510,205/55 R16,all-season,summer,family,1489.2,55302.0,36,7.81,1.2,0.1738,35733.0,,0.00261,2.52,3.71,74.2,0.526,6.7,0.335,0,1
OBS000012,2019-09-29,2019,9,Netherlands,Western Europe,Hankook,HAN-Drive-758,195/65 R15,summer,mild,family,2128.7,12729.6,6,8.29,6.07,0.1668,40096.0,145.24,0.00362,2.73,3.95,73.1,0.461,-1.1,0.692,0,0
OBS000013,2020-08-08,2020,8,Norway,Northern Europe,Pirelli,PIR-Tour-864,255/40 R19,summer,summer,ev,1288.1,18812.5,17,7.88,2.64,0.2726,23040.0,177.6,0.00771,2.65,3.1,76.9,0.676,13.7,0.586,1,1
OBS000014,2023-10-21,2023,10,Czechia,Eastern Europe,Nokian,NOK-Grip-621,225/45 R17,all-season,mild,suv,1029.7,34317.6,30,7.69,1.2,0.2235,27260.0,131.5,0.00482,2.87,3.04,71.0,0.655,11.2,0.461,1,1
OBS000015,2020-01-08,2020,1,Norway,Northern Europe,Continental,CON-Drive-710,225/45 R17,all-season,winter,family,1417.3,8083.5,5,8.05,6.82,0.1815,35525.0,132.62,0.00373,3.36,3.64,71.1,0.703,11.3,0.596,0,0
OBS000016,2023-04-26,2023,4,Spain,Southern Europe,Yokohama,YOK-Sport-981,235/45 R18,summer,mild,ev,816.4,28221.7,40,8.88,1.98,0.2375,30629.0,166.66,0.00544,2.63,3.41,72.6,0.466,16.5,0.525,0,1
OBS000017,2020-04-14,2020,4,Portugal,Southern Europe,Bridgestone,BRI-Tour-545,205/55 R16,all-season,mild,suv,1481.7,12852.7,10,8.39,5.98,0.1725,39354.0,104.01,0.00264,3.39,3.11,72.5,0.336,17.2,0.319,1,0
OBS000018,2024-02-02,2024,2,France,Western Europe,Bridgestone,BRI-Sport-208,225/45 R17,summer,winter,ev,1161.2,14013.6,13,8.55,4.98,0.251,27695.0,149.5,0.0054,2.86,3.03,73.2,0.603,20.5,0.531,0,0
OBS000019,2024-09-10,2024,9,Netherlands,Western Europe,Goodyear,GOO-Sport-897,225/45 R17,winter,mild,suv,1439.0,1488.8,1,7.72,7.62,0.2422,25247.0,115.32,0.00457,2.6,2.68,72.6,0.517,2.4,0.589,0,0
OBS000020,2019-01-03,2019,1,Poland,Eastern Europe,Yokohama,YOK-Tour-999,205/55 R16,winter,winter,city,935.7,55095.4,52,9.09,1.37,0.1344,55781.0,131.98,0.00237,2.52,3.26,76.2,0.558,4.1,0.489,1,1
OBS000021,2021-09-07,2021,9,Netherlands,Western Europe,Continental,CON-Eco-878,195/65 R15,summer,mild,city,2483.0,120667.2,47,8.25,1.2,0.202,32944.0,154.16,0.00468,2.78,3.05,72.8,0.678,4.9,0.631,0,1
OBS000022,2020-05-30,2020,5,Poland,Eastern Europe,Yokohama,YOK-Tour-640,225/45 R17,summer,mild,ev,1246.1,4400.6,4,7.85,6.64,0.2782,22467.0,142.3,0.00633,2.48,3.43,73.1,0.638,14.0,0.519,0,0
OBS000023,2023-09-30,2023,9,Czechia,Eastern Europe,Pirelli,PIR-Tour-548,195/65 R15,all-season,mild,suv,2166.3,73536.1,35,7.76,1.2,0.2253,27329.0,167.06,0.00611,3.18,3.07,72.0,0.491,15.4,0.512,1,1
OBS000024,2024-01-24,2024,1,Poland,Eastern Europe,Pirelli,PIR-Eco-702,235/45 R18,summer,winter,city,1452.8,47348.5,31,7.97,1.2,0.2099,30337.0,135.92,0.00448,2.84,3.59,72.4,0.592,7.4,0.518,0,1
OBS000025,2021-07-31,2021,7,Poland,Eastern Europe,Michelin,MIC-Grip-169,205/55 R16,winter,summer,city,664.9,5407.8,9,7.41,6.46,0.1612,36049.0,129.3,0.00359,3.05,4.23,75.1,0.669,7.0,0.493,0,0
OBS000026,2022-09-15,2022,9,Portugal,Southern Europe,Pirelli,PIR-Grip-652,195/65 R15,summer,mild,suv,1521.2,39379.0,23,8.3,1.2,0.2256,29693.0,139.68,0.0047,3.06,3.39,75.0,0.566,16.0,0.428,0,1
OBS000027,2025-05-27,2025,5,France,Western Europe,Pirelli,PIR-Grip-196,195/65 R15,winter,mild,fleet,1642.8,46104.3,33,7.39,1.2,0.2064,28062.0,145.91,0.0052,2.43,3.51,70.9,0.555,7.4,0.488,0,1
OBS000028,2023-11-01,2023,11,Spain,Southern Europe,Nokian,NOK-Eco-162,205/55 R16,summer,mild,fleet,1088.3,44216.9,39,7.81,1.2,0.1706,36382.0,115.08,0.00316,3.39,2.87,71.9,0.572,21.7,0.075,0,1
OBS000029,2022-10-21,2022,10,Sweden,Northern Europe,Continental,CON-Grip-649,225/45 R17,all-season,mild,family,1580.5,56526.8,42,8.27,1.2,0.1914,34825.0,130.1,0.00374,3.13,3.25,73.0,0.718,2.5,0.598,1,1
OBS000030,2020-07-28,2020,7,Norway,Northern Europe,Bridgestone,BRI-Eco-553,225/45 R17,winter,summer,fleet,1290.5,7888.2,7,8.55,6.98,0.1761,39457.0,126.98,0.00322,3.1,3.57,75.3,0.595,3.8,0.748,0,0
OBS000031,2020-02-06,2020,2,Poland,Eastern Europe,Michelin,MIC-Grip-516,225/45 R17,summer,winter,city,1684.1,65377.6,45,9.15,1.2,0.1716,43982.0,145.42,0.00331,2.31,3.16,70.2,0.584,-1.7,0.693,0,1
OBS000032,2024-05-25,2024,5,Norway,Northern Europe,Nokian,NOK-Drive-102,225/45 R17,summer,mild,city,1040.3,49271.5,51,8.34,1.2,0.1814,37132.0,131.67,0.00355,3.05,3.61,74.6,0.702,-2.8,0.293,0,1
OBS000033,2021-12-22,2021,12,Sweden,Northern Europe,Yokohama,YOK-Sport-777,195/65 R15,all-season,winter,suv,1439.4,60034.3,46,8.02,1.2,0.2613,24565.0,150.77,0.00614,3.02,2.66,71.1,0.666,9.8,0.453,0,1
OBS000034,2020-09-26,2020,9,Norway,Northern Europe,Pirelli,PIR-Sport-162,255/40 R19,summer,mild,city,771.9,1738.1,2,7.79,7.71,0.2183,28380.0,170.1,0.00599,3.23,3.5,72.0,0.74,3.0,0.594,0,0
OBS000035,2019-08-23,2019,8,Italy,Southern Europe,Yokohama,YOK-Grip-158,255/40 R19,summer,summer,ev,1118.2,43763.2,44,7.94,1.2,0.2586,24515.0,196.47,0.00801,2.91,2.73,74.7,0.594,24.9,0.274,1,1
OBS000036,2019-11-25,2019,11,Poland,Eastern Europe,Continental,CON-Grip-513,205/55 R16,all-season,mild,ev,1114.0,38498.0,39,7.62,1.2,0.2394,25138.0,150.22,0.00598,2.95,2.93,74.7,0.548,10.9,0.477,1,1
OBS000037,2025-05-22,2025,5,Spain,Southern Europe,Michelin,MIC-Drive-773,205/55 R16,summer,mild,ev,1220.7,25589.4,24,8.04,1.2,0.2687,23972.0,148.39,0.00619,2.59,3.51,72.7,0.508,28.6,0.599,0,1
OBS000038,2025-05-04,2025,5,Czechia,Eastern Europe,Bridgestone,BRI-Grip-371,235/45 R18,winter,mild,family,1472.4,71203.6,50,7.38,1.2,0.1575,36717.0,154.73,0.00421,2.5,3.73,71.9,0.414,3.4,0.425,0,1
OBS000039,2020-06-20,2020,6,Sweden,Northern Europe,Bridgestone,BRI-Eco-109,235/45 R18,all-season,summer,fleet,1239.1,37027.7,32,7.95,1.2,0.2395,26500.0,158.98,0.006,2.81,3.63,73.3,0.735,-0.4,0.501,0,1
OBS000040,2025-12-19,2025,12,Norway,Northern Europe,Continental,CON-Grip-618,255/40 R19,all-season,winter,city,1283.5,49773.6,35,8.29,1.2,0.1914,34978.0,180.95,0.00517,2.73,3.88,69.9,0.612,8.0,0.7,0,1
OBS000041,2020-06-26,2020,6,Netherlands,Western Europe,Continental,CON-Tour-261,235/45 R18,all-season,summer,family,1219.1,33014.3,24,8.71,4.51,0.1237,57524.0,174.52,0.00303,2.99,3.5,73.8,0.612,6.3,0.48,0,0
OBS000042,2025-02-03,2025,2,Norway,Northern Europe,Michelin,MIC-Eco-999,235/45 R18,all-season,winter,ev,741.2,31297.1,44,8.14,1.2,0.2766,23658.0,178.07,0.00753,3.42,3.03,71.6,0.673,8.6,0.611,0,1
OBS000043,2021-12-19,2021,12,France,Western Europe,Continental,CON-Tour-388,225/45 R17,summer,winter,ev,1871.0,64263.4,35,7.9,1.2,0.2942,21414.0,136.82,0.00639,2.67,3.48,70.5,0.676,14.2,0.581,0,1
OBS000044,2021-05-12,2021,5,Czechia,Eastern Europe,Pirelli,PIR-Drive-357,255/40 R19,all-season,mild,suv,1598.6,12743.8,8,8.62,6.32,0.1849,37955.0,168.67,0.00444,2.95,3.49,72.9,0.388,5.1,0.278,1,0
OBS000045,2020-01-14,2020,1,Portugal,Southern Europe,Bridgestone,BRI-Tour-889,205/55 R16,winter,winter,city,956.7,36041.4,40,8.27,2.34,0.1627,41012.0,98.55,0.0024,2.67,3.16,71.4,0.545,19.0,0.664,1,1
OBS000046,2021-12-08,2021,12,France,Western Europe,Yokohama,YOK-Sport-109,195/65 R15,summer,winter,ev,1322.4,44112.5,29,8.12,1.2,0.2614,24956.0,181.43,0.00727,2.82,2.85,72.8,0.499,18.2,0.639,0,1
OBS000047,2019-11-05,2019,11,Spain,Southern Europe,Goodyear,GOO-Tour-696,205/55 R16,all-season,mild,ev,1452.2,15221.3,10,7.45,3.09,0.2516,23233.0,115.77,0.00498,2.93,3.03,74.2,0.587,25.0,0.32,1,1
OBS000048,2020-08-29,2020,8,Poland,Eastern Europe,Michelin,MIC-Eco-466,235/45 R18,winter,summer,suv,2128.9,79155.1,38,7.72,1.2,0.2354,26006.0,122.93,0.00473,2.41,3.31,72.1,0.619,17.1,0.353,0,1
OBS000049,2021-10-19,2021,10,Germany,Western Europe,Hankook,HAN-Sport-867,195/65 R15,all-season,mild,ev,1666.9,89870.5,46,8.33,1.2,0.235,28649.0,185.12,0.00646,3.13,2.83,74.0,0.574,17.1,0.505,1,1
OBS000050,2021-08-27,2021,8,France,Western Europe,Goodyear,GOO-Grip-854,205/55 R16,all-season,summer,fleet,946.6,25159.0,25,7.46,2.75,0.1893,30945.0,100.82,0.00326,3.32,3.39,73.1,0.596,9.3,0.396,0,1
